ko;cpd;referenceAG;compoundclass;compoundname;genesymbol;genename;enzyme_activity
K00004;C00038;EPA;Metal;Zinc cation;BDH;(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase;dehydrogenase
K00005;C00038;ATSDR;Metal;Zinc cation;gldA;glycerol dehydrogenase;dehydrogenase
K00005;C00038;EPA;Metal;Zinc cation;gldA;glycerol dehydrogenase;dehydrogenase
K00005;C13377;ATSDR;Metal;Mercuric chloride;gldA;glycerol dehydrogenase;dehydrogenase
K00005;C13377;WFD;Metal;Mercuric chloride;gldA;glycerol dehydrogenase;dehydrogenase
K00005;C13377;ATSDR;Chlorinated;Mercuric chloride;gldA;glycerol dehydrogenase;dehydrogenase
K00005;C13377;WFD;Chlorinated;Mercuric chloride;gldA;glycerol dehydrogenase;dehydrogenase
K00005;C14399;IARC2B;Chlorinated;1,3-Dichloro-2-propanol;gldA;glycerol dehydrogenase;dehydrogenase
K00005;C14399;IARC2B;Aliphatic;1,3-Dichloro-2-propanol;gldA;glycerol dehydrogenase;dehydrogenase
K00005;C14440;ATSDR;Aliphatic;1,4-Dioxane;gldA;glycerol dehydrogenase;dehydrogenase
K00005;C14440;IARC2B;Aliphatic;1,4-Dioxane;gldA;glycerol dehydrogenase;dehydrogenase
K00005;C18676;IARC2B;Chlorinated;alpha-Chlorohydrin;gldA;glycerol dehydrogenase;dehydrogenase
K00005;C18676;IARC2B;Aliphatic;alpha-Chlorohydrin;gldA;glycerol dehydrogenase;dehydrogenase
K00006;C00038;EPA;Metal;Zinc cation;GPD1;glycerol-3-phosphate dehydrogenase (NAD+);dehydrogenase
K00006;C00038;ATSDR;Metal;Zinc cation;GPD1;glycerol-3-phosphate dehydrogenase (NAD+);dehydrogenase
K00007;C00038;ATSDR;Metal;Zinc cation;dalD;D-arabinitol 4-dehydrogenase;dehydrogenase
K00007;C00038;EPA;Metal;Zinc cation;dalD;D-arabinitol 4-dehydrogenase;dehydrogenase
K00008;C00038;ATSDR;Metal;Zinc cation;SORD;L-iditol 2-dehydrogenase;dehydrogenase
K00008;C00038;EPA;Metal;Zinc cation;SORD;L-iditol 2-dehydrogenase;dehydrogenase
K00008;C13377;WFD;Metal;Mercuric chloride;SORD;L-iditol 2-dehydrogenase;dehydrogenase
K00008;C13377;ATSDR;Metal;Mercuric chloride;SORD;L-iditol 2-dehydrogenase;dehydrogenase
K00008;C13377;WFD;Chlorinated;Mercuric chloride;SORD;L-iditol 2-dehydrogenase;dehydrogenase
K00008;C13377;ATSDR;Chlorinated;Mercuric chloride;SORD;L-iditol 2-dehydrogenase;dehydrogenase
K00009;C00038;EPA;Metal;Zinc cation;mtlD;mannitol-1-phosphate 5-dehydrogenase;dehydrogenase
K00009;C00038;ATSDR;Metal;Zinc cation;mtlD;mannitol-1-phosphate 5-dehydrogenase;dehydrogenase
K00011;C07443;IARC2B;Polyaromatic;Phenytoin;AKR1B;aldehyde reductase;reductase
K00011;C07443;IARC2B;Nitrogen-containing;Phenytoin;AKR1B;aldehyde reductase;reductase
K00011;C07675;IARC2A;Aromatic;Pioglitazone;AKR1B;aldehyde reductase;reductase
K00011;C07675;IARC2A;Sulfur-containing;Pioglitazone;AKR1B;aldehyde reductase;reductase
K00011;C07675;IARC2A;Nitrogen-containing;Pioglitazone;AKR1B;aldehyde reductase;reductase
K00019;C07308;IARC2B;Inorganic;Cacodylate;BDH1;3-hydroxybutyrate dehydrogenase;dehydrogenase
K00019;C07308;ATSDR;Inorganic;Cacodylate;BDH1;3-hydroxybutyrate dehydrogenase;dehydrogenase
K00019;C07308;IARC2B;Metal;Cacodylate;BDH1;3-hydroxybutyrate dehydrogenase;dehydrogenase
K00019;C07308;ATSDR;Metal;Cacodylate;BDH1;3-hydroxybutyrate dehydrogenase;dehydrogenase
K00024;C06747;PSL;Sulfur-containing;Phenylmethanesulfonyl fluoride;mdh;malate dehydrogenase;dehydrogenase
K00024;C06747;PSL;Aromatic;Phenylmethanesulfonyl fluoride;mdh;malate dehydrogenase;dehydrogenase
K00024;C08142;PSL;Inorganic;Sodium fluoride;mdh;malate dehydrogenase;dehydrogenase
K00025;C06747;PSL;Sulfur-containing;Phenylmethanesulfonyl fluoride;MDH1;malate dehydrogenase;dehydrogenase
K00025;C06747;PSL;Aromatic;Phenylmethanesulfonyl fluoride;MDH1;malate dehydrogenase;dehydrogenase
K00025;C08142;PSL;Inorganic;Sodium fluoride;MDH1;malate dehydrogenase;dehydrogenase
K00026;C06747;PSL;Sulfur-containing;Phenylmethanesulfonyl fluoride;MDH2;malate dehydrogenase;dehydrogenase
K00026;C06747;PSL;Aromatic;Phenylmethanesulfonyl fluoride;MDH2;malate dehydrogenase;dehydrogenase
K00026;C08142;PSL;Inorganic;Sodium fluoride;MDH2;malate dehydrogenase;dehydrogenase
K00033;C19300;IARC2B;Nitrogen-containing;Tetranitromethane;PGD;6-phosphogluconate dehydrogenase;dehydrogenase
K00033;C19300;IARC2B;Inorganic;Tetranitromethane;PGD;6-phosphogluconate dehydrogenase;dehydrogenase
K00036;C10984;EPC;Polyaromatic;Cypermethrin;G6PD;glucose-6-phosphate 1-dehydrogenase;dehydrogenase
K00036;C10984;EPC;Chlorinated;Cypermethrin;G6PD;glucose-6-phosphate 1-dehydrogenase;dehydrogenase
K00036;C10984;EPC;Nitrogen-containing;Cypermethrin;G6PD;glucose-6-phosphate 1-dehydrogenase;dehydrogenase
K00036;C18428;EPC;Nitrogen-containing;Diuron;G6PD;glucose-6-phosphate 1-dehydrogenase;dehydrogenase
K00036;C18428;WFD;Nitrogen-containing;Diuron;G6PD;glucose-6-phosphate 1-dehydrogenase;dehydrogenase
K00036;C18428;ATSDR;Nitrogen-containing;Diuron;G6PD;glucose-6-phosphate 1-dehydrogenase;dehydrogenase
K00036;C18428;EPC;Chlorinated;Diuron;G6PD;glucose-6-phosphate 1-dehydrogenase;dehydrogenase
K00036;C18428;WFD;Chlorinated;Diuron;G6PD;glucose-6-phosphate 1-dehydrogenase;dehydrogenase
K00036;C18428;ATSDR;Chlorinated;Diuron;G6PD;glucose-6-phosphate 1-dehydrogenase;dehydrogenase
K00036;C18428;EPC;Aromatic;Diuron;G6PD;glucose-6-phosphate 1-dehydrogenase;dehydrogenase
K00036;C18428;WFD;Aromatic;Diuron;G6PD;glucose-6-phosphate 1-dehydrogenase;dehydrogenase
K00036;C18428;ATSDR;Aromatic;Diuron;G6PD;glucose-6-phosphate 1-dehydrogenase;dehydrogenase
K00037;C11043;ATSDR;Chlorinated;Methoxychlor;AKR1C4;3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase;dehydrogenase
K00037;C11043;ATSDR;Polyaromatic;Methoxychlor;AKR1C4;3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase;dehydrogenase
K00037;C14286;IARC2B;Polyaromatic;Phenolphthalein;AKR1C4;3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase;dehydrogenase
K00064;C14512;IARC2B;Aromatic;Benzofuran;E1.1.1.122;D-threo-aldose 1-dehydrogenase;dehydrogenase
K00069;C07316;IARC2B;Nitrogen-containing;Sulfasalazine;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD);dehydrogenase
K00069;C07316;IARC2B;Sulfur-containing;Sulfasalazine;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD);dehydrogenase
K00069;C07316;IARC2B;Polyaromatic;Sulfasalazine;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD);dehydrogenase
K00069;C07675;IARC2A;Aromatic;Pioglitazone;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD);dehydrogenase
K00069;C07675;IARC2A;Sulfur-containing;Pioglitazone;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD);dehydrogenase
K00069;C07675;IARC2A;Nitrogen-containing;Pioglitazone;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD);dehydrogenase
K00069;C19300;IARC2B;Nitrogen-containing;Tetranitromethane;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD);dehydrogenase
K00069;C19300;IARC2B;Inorganic;Tetranitromethane;HPGD;15-hydroxyprostaglandin dehydrogenase (NAD);dehydrogenase
K00070;C11043;ATSDR;Chlorinated;Methoxychlor;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C11043;ATSDR;Polyaromatic;Methoxychlor;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C14214;PSL;Aromatic;Dibutyl phthalate;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C14214;ATSDR;Aromatic;Dibutyl phthalate;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C14214;EPA;Aromatic;Dibutyl phthalate;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C14214;CONAMA;Aromatic;Dibutyl phthalate;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C14227;PSL;Aromatic;Di-n-octyl phthalate;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C14227;EPA;Aromatic;Di-n-octyl phthalate;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C14550;PSL;Aromatic;4-Nonylphenol;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C14550;WFD;Aromatic;4-Nonylphenol;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C14550;EPC;Aromatic;4-Nonylphenol;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C15233;EPC;Metal;Cadmium chloride;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C15233;PSL;Metal;Cadmium chloride;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C15233;WFD;Metal;Cadmium chloride;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C15233;EPC;Inorganic;Cadmium chloride;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C15233;PSL;Inorganic;Cadmium chloride;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C15233;WFD;Inorganic;Cadmium chloride;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C15233;EPC;Chlorinated;Cadmium chloride;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C15233;PSL;Chlorinated;Cadmium chloride;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00070;C15233;WFD;Chlorinated;Cadmium chloride;HSD3B;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;dehydrogenase
K00078;C19256;IARC2B;Nitrogen-containing;Merphalan;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);dehydrogenase
K00078;C19256;IARC2B;Chlorinated;Merphalan;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);dehydrogenase
K00078;C19256;IARC2B;Aromatic;Merphalan;DHDH;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);dehydrogenase
K00079;C07443;IARC2B;Polyaromatic;Phenytoin;CBR1;carbonyl reductase 1;reductase
K00079;C07443;IARC2B;Nitrogen-containing;Phenytoin;CBR1;carbonyl reductase 1;reductase
K00079;C11195;IARC2B;Nitrogen-containing;Mitoxantrone;CBR1;carbonyl reductase 1;reductase
K00079;C11195;IARC2B;Polyaromatic;Mitoxantrone;CBR1;carbonyl reductase 1;reductase
K00081;C07443;IARC2B;Polyaromatic;Phenytoin;CBR2;carbonyl reductase 2;reductase
K00081;C07443;IARC2B;Nitrogen-containing;Phenytoin;CBR2;carbonyl reductase 2;reductase
K00081;C11195;IARC2B;Nitrogen-containing;Mitoxantrone;CBR2;carbonyl reductase 2;reductase
K00081;C11195;IARC2B;Polyaromatic;Mitoxantrone;CBR2;carbonyl reductase 2;reductase
K00084;C07443;IARC2B;Polyaromatic;Phenytoin;CBR3;carbonyl reductase 3;reductase
K00084;C07443;IARC2B;Nitrogen-containing;Phenytoin;CBR3;carbonyl reductase 3;reductase
K00084;C11195;IARC2B;Nitrogen-containing;Mitoxantrone;CBR3;carbonyl reductase 3;reductase
K00084;C11195;IARC2B;Polyaromatic;Mitoxantrone;CBR3;carbonyl reductase 3;reductase
K00089;C07308;ATSDR;Inorganic;Cacodylate;AKR1C2;3alpha-hydroxysteroid 3-dehydrogenase;dehydrogenase
K00089;C07308;IARC2B;Inorganic;Cacodylate;AKR1C2;3alpha-hydroxysteroid 3-dehydrogenase;dehydrogenase
K00089;C07308;ATSDR;Metal;Cacodylate;AKR1C2;3alpha-hydroxysteroid 3-dehydrogenase;dehydrogenase
K00089;C07308;IARC2B;Metal;Cacodylate;AKR1C2;3alpha-hydroxysteroid 3-dehydrogenase;dehydrogenase
K00089;C07620;IARC1;Polyaromatic;Diethylstilbestrol;AKR1C2;3alpha-hydroxysteroid 3-dehydrogenase;dehydrogenase
K00089;C11043;ATSDR;Chlorinated;Methoxychlor;AKR1C2;3alpha-hydroxysteroid 3-dehydrogenase;dehydrogenase
K00089;C11043;ATSDR;Polyaromatic;Methoxychlor;AKR1C2;3alpha-hydroxysteroid 3-dehydrogenase;dehydrogenase
K00106;C19396;IARC2B;Nitrogen-containing;Dibromoacetonitrile;XDH;xanthine dehydrogenase/oxidase;dehydrogenase
K00106;C19396;IARC2B;Halogenated;Dibromoacetonitrile;XDH;xanthine dehydrogenase/oxidase;dehydrogenase
K00114;C13884;ATSDR;Metal;Strontium cation;exaA;alcohol dehydrogenase (cytochrome c);dehydrogenase
K00128;C11906;ATSDR;Inorganic;Sodium arsenite;ALDH;aldehyde dehydrogenase (NAD+);dehydrogenase
K00128;C11906;ATSDR;Metal;Sodium arsenite;ALDH;aldehyde dehydrogenase (NAD+);dehydrogenase
K00128;C13884;ATSDR;Metal;Strontium cation;ALDH;aldehyde dehydrogenase (NAD+);dehydrogenase
K00130;C07115;IARC2A;Chlorinated;Nitrogen mustard;betB;betaine-aldehyde dehydrogenase;dehydrogenase
K00130;C07115;IARC2A;Nitrogen-containing;Nitrogen mustard;betB;betaine-aldehyde dehydrogenase;dehydrogenase
K00133;C07308;IARC2B;Inorganic;Cacodylate;asd;aspartate-semialdehyde dehydrogenase;dehydrogenase
K00133;C07308;ATSDR;Inorganic;Cacodylate;asd;aspartate-semialdehyde dehydrogenase;dehydrogenase
K00133;C07308;IARC2B;Metal;Cacodylate;asd;aspartate-semialdehyde dehydrogenase;dehydrogenase
K00133;C07308;ATSDR;Metal;Cacodylate;asd;aspartate-semialdehyde dehydrogenase;dehydrogenase
K00134;C18676;IARC2B;Chlorinated;alpha-Chlorohydrin;GAPDH;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating);dehydrogenase
K00134;C18676;IARC2B;Aliphatic;alpha-Chlorohydrin;GAPDH;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating);dehydrogenase
K00149;C11906;ATSDR;Inorganic;Sodium arsenite;ALDH9A1;aldehyde dehydrogenase family 9 member A1;dehydrogenase
K00149;C11906;ATSDR;Metal;Sodium arsenite;ALDH9A1;aldehyde dehydrogenase family 9 member A1;dehydrogenase
K00157;C01553;IARC2B;Polyaromatic;Amsacrine;AOX;aldehyde oxidase;oxidase
K00157;C01553;IARC2B;Nitrogen-containing;Amsacrine;AOX;aldehyde oxidase;oxidase
K00157;C01553;IARC2B;Sulfur-containing;Amsacrine;AOX;aldehyde oxidase;oxidase
K00157;C07557;ATSDR;Chlorinated;2,3,7,8-Tetrachlorodibenzodioxin;AOX;aldehyde oxidase;oxidase
K00157;C07557;WFD;Chlorinated;2,3,7,8-Tetrachlorodibenzodioxin;AOX;aldehyde oxidase;oxidase
K00157;C07557;EPA;Chlorinated;2,3,7,8-Tetrachlorodibenzodioxin;AOX;aldehyde oxidase;oxidase
K00157;C07557;PSL;Chlorinated;2,3,7,8-Tetrachlorodibenzodioxin;AOX;aldehyde oxidase;oxidase
K00157;C07557;EPC;Chlorinated;2,3,7,8-Tetrachlorodibenzodioxin;AOX;aldehyde oxidase;oxidase
K00157;C07557;ATSDR;Polyaromatic;2,3,7,8-Tetrachlorodibenzodioxin;AOX;aldehyde oxidase;oxidase
K00157;C07557;WFD;Polyaromatic;2,3,7,8-Tetrachlorodibenzodioxin;AOX;aldehyde oxidase;oxidase
K00157;C07557;EPA;Polyaromatic;2,3,7,8-Tetrachlorodibenzodioxin;AOX;aldehyde oxidase;oxidase
K00157;C07557;PSL;Polyaromatic;2,3,7,8-Tetrachlorodibenzodioxin;AOX;aldehyde oxidase;oxidase
K00157;C07557;EPC;Polyaromatic;2,3,7,8-Tetrachlorodibenzodioxin;AOX;aldehyde oxidase;oxidase
K00157;C14421;IARC2A;Polyaromatic;1-Nitropyrene;AOX;aldehyde oxidase;oxidase
K00157;C14421;IARC2A;Nitrogen-containing;1-Nitropyrene;AOX;aldehyde oxidase;oxidase
K00157;C14592;IARC2A;Nitrogen-containing;N-Methyl-N'-nitro-N-nitrosoguanidine;AOX;aldehyde oxidase;oxidase
K00157;C14592;IARC2A;Inorganic;N-Methyl-N'-nitro-N-nitrosoguanidine;AOX;aldehyde oxidase;oxidase
K00157;C14595;IARC2A;Nitrogen-containing;Methylnitrosourea;AOX;aldehyde oxidase;oxidase
K00157;C14595;IARC2A;Aliphatic;Methylnitrosourea;AOX;aldehyde oxidase;oxidase
K00212;C11043;ATSDR;Chlorinated;Methoxychlor;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00212;C11043;ATSDR;Polyaromatic;Methoxychlor;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00212;C14512;IARC2B;Aromatic;Benzofuran;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00212;C19256;IARC2B;Nitrogen-containing;Merphalan;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00212;C19256;IARC2B;Chlorinated;Merphalan;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00212;C19256;IARC2B;Aromatic;Merphalan;AKR1C1;20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase;dehydrogenase
K00213;C14704;IARC2A;Nitrogen-containing;N-Nitrosodimethylamine;DHCR7;7-dehydrocholesterol reductase;reductase
K00213;C14704;ATSDR;Nitrogen-containing;N-Nitrosodimethylamine;DHCR7;7-dehydrocholesterol reductase;reductase
K00213;C14704;EPA;Nitrogen-containing;N-Nitrosodimethylamine;DHCR7;7-dehydrocholesterol reductase;reductase
K00213;C14704;PSL;Nitrogen-containing;N-Nitrosodimethylamine;DHCR7;7-dehydrocholesterol reductase;reductase
K00213;C14704;IARC2A;Aliphatic;N-Nitrosodimethylamine;DHCR7;7-dehydrocholesterol reductase;reductase
K00213;C14704;ATSDR;Aliphatic;N-Nitrosodimethylamine;DHCR7;7-dehydrocholesterol reductase;reductase
K00213;C14704;EPA;Aliphatic;N-Nitrosodimethylamine;DHCR7;7-dehydrocholesterol reductase;reductase
K00213;C14704;PSL;Aliphatic;N-Nitrosodimethylamine;DHCR7;7-dehydrocholesterol reductase;reductase
K00221;C11146;WFD;Organometallic;Methylmercury chloride;E4.99.1.2;alkylmercury lyase;lyase
K00221;C11146;EPC;Organometallic;Methylmercury chloride;E4.99.1.2;alkylmercury lyase;lyase
K00221;C11146;IARC2B;Organometallic;Methylmercury chloride;E4.99.1.2;alkylmercury lyase;lyase
K00221;C11146;WFD;Chlorinated;Methylmercury chloride;E4.99.1.2;alkylmercury lyase;lyase
K00221;C11146;EPC;Chlorinated;Methylmercury chloride;E4.99.1.2;alkylmercury lyase;lyase
K00221;C11146;IARC2B;Chlorinated;Methylmercury chloride;E4.99.1.2;alkylmercury lyase;lyase
K00231;C11065;IARC2B;Chlorinated;Nitrofen;PPOX;protoporphyrinogen/coproporphyrinogen III oxidase;oxidase
K00231;C11065;IARC2B;Polyaromatic;Nitrofen;PPOX;protoporphyrinogen/coproporphyrinogen III oxidase;oxidase
K00231;C11065;IARC2B;Nitrogen-containing;Nitrofen;PPOX;protoporphyrinogen/coproporphyrinogen III oxidase;oxidase
K00232;C18142;WFD;Sulfur-containing;Perfluorooctanesulfonic acid;E1.3.3.6;acyl-CoA oxidase;oxidase
K00232;C18142;ATSDR;Sulfur-containing;Perfluorooctanesulfonic acid;E1.3.3.6;acyl-CoA oxidase;oxidase
K00232;C18142;EPC;Sulfur-containing;Perfluorooctanesulfonic acid;E1.3.3.6;acyl-CoA oxidase;oxidase
K00232;C18142;WFD;Halogenated;Perfluorooctanesulfonic acid;E1.3.3.6;acyl-CoA oxidase;oxidase
K00232;C18142;ATSDR;Halogenated;Perfluorooctanesulfonic acid;E1.3.3.6;acyl-CoA oxidase;oxidase
K00232;C18142;EPC;Halogenated;Perfluorooctanesulfonic acid;E1.3.3.6;acyl-CoA oxidase;oxidase
K00248;C11146;IARC2B;Organometallic;Methylmercury chloride;ACADS;butyryl-CoA dehydrogenase;dehydrogenase
K00248;C11146;EPC;Organometallic;Methylmercury chloride;ACADS;butyryl-CoA dehydrogenase;dehydrogenase
K00248;C11146;WFD;Organometallic;Methylmercury chloride;ACADS;butyryl-CoA dehydrogenase;dehydrogenase
K00248;C11146;IARC2B;Chlorinated;Methylmercury chloride;ACADS;butyryl-CoA dehydrogenase;dehydrogenase
K00248;C11146;EPC;Chlorinated;Methylmercury chloride;ACADS;butyryl-CoA dehydrogenase;dehydrogenase
K00248;C11146;WFD;Chlorinated;Methylmercury chloride;ACADS;butyryl-CoA dehydrogenase;dehydrogenase
K00249;C11146;IARC2B;Organometallic;Methylmercury chloride;ACADM;acyl-CoA dehydrogenase;dehydrogenase
K00249;C11146;EPC;Organometallic;Methylmercury chloride;ACADM;acyl-CoA dehydrogenase;dehydrogenase
K00249;C11146;WFD;Organometallic;Methylmercury chloride;ACADM;acyl-CoA dehydrogenase;dehydrogenase
K00249;C11146;IARC2B;Chlorinated;Methylmercury chloride;ACADM;acyl-CoA dehydrogenase;dehydrogenase
K00249;C11146;EPC;Chlorinated;Methylmercury chloride;ACADM;acyl-CoA dehydrogenase;dehydrogenase
K00249;C11146;WFD;Chlorinated;Methylmercury chloride;ACADM;acyl-CoA dehydrogenase;dehydrogenase
K00251;C19238;IARC2B;Aliphatic;Ethyl acrylate;AKR1D1;3-oxo-5-beta-steroid 4-dehydrogenase;dehydrogenase
K00255;C11146;IARC2B;Organometallic;Methylmercury chloride;ACADL;long-chain-acyl-CoA dehydrogenase;dehydrogenase
K00255;C11146;EPC;Organometallic;Methylmercury chloride;ACADL;long-chain-acyl-CoA dehydrogenase;dehydrogenase
K00255;C11146;WFD;Organometallic;Methylmercury chloride;ACADL;long-chain-acyl-CoA dehydrogenase;dehydrogenase
K00255;C11146;IARC2B;Chlorinated;Methylmercury chloride;ACADL;long-chain-acyl-CoA dehydrogenase;dehydrogenase
K00255;C11146;EPC;Chlorinated;Methylmercury chloride;ACADL;long-chain-acyl-CoA dehydrogenase;dehydrogenase
K00255;C11146;WFD;Chlorinated;Methylmercury chloride;ACADL;long-chain-acyl-CoA dehydrogenase;dehydrogenase
