Sample,cpd,SMILES,ChEBI,compoundname,label_Avian,label_Biodegradation,label_Crustacean,label_Eye_Corrosion,label_Eye_Irritation,label_Fathead_Minnow,label_Genomic_AMES_Mutagenesis,label_Genomic_Carcinogenesis,label_Genomic_Micronucleus,label_Honey_Bee,label_Liver_Injury_I,label_Liver_Injury_II,label_NR_AR,label_NR_AR_LBD,label_NR_AhR,label_NR_Aromatase,label_NR_ER,label_NR_ER_LBD,label_NR_GR,label_NR_PPAR_gamma,label_NR_TR,label_Respiratory_Disease,label_SR_ARE,label_SR_ATAD5,label_SR_HSE,label_SR_MMP,label_SR_p53,label_Skin_Sensitisation,label_T._Pyriformis,label_hERG_II_Inhibitor,label_hERG_I_Inhibitor,value_Avian,value_Biodegradation,value_Crustacean,value_Eye_Corrosion,value_Eye_Irritation,value_Fathead_Minnow,value_Genomic_AMES_Mutagenesis,value_Genomic_Carcinogenesis,value_Genomic_Micronucleus,value_Honey_Bee,value_Liver_Injury_I,value_Liver_Injury_II,value_NR_AR,value_NR_AR_LBD,value_NR_AhR,value_NR_Aromatase,value_NR_ER,value_NR_ER_LBD,value_NR_GR,value_NR_PPAR_gamma,value_NR_TR,value_Respiratory_Disease,value_SR_ARE,value_SR_ATAD5,value_SR_HSE,value_SR_MMP,value_SR_p53,value_Skin_Sensitisation,value_T._Pyriformis,value_hERG_II_Inhibitor,value_hERG_I_Inhibitor
E7,C10984,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,CHEBI:4042,Cypermethrin,High Safety,High Safety,High Toxicity,High Safety,Medium Safety,High Toxicity,High Safety,High Safety,Low Toxicity,High Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,Medium Safety,Low Safety,High Safety,High Safety,High Safety,Low Safety,High Safety,Low Safety,High Toxicity,Low Safety,High Safety,0.0,0.08,0.96,0.04,0.2,0.99,0.0,0.1,0.51,1.0,0.05,0.14,0.0,0.0,0.03,0.0,0.22,0.01,0.2,0.03,0.24,0.41,0.02,0.02,0.0,0.38,0.12,0.36,0.97,0.43,0.04
E7,C18447,[H]C([H])([H])Br,CHEBI:39275,Methyl bromide,High Safety,High Safety,High Toxicity,High Toxicity,High Toxicity,Medium Safety,High Toxicity,High Safety,Low Toxicity,High Toxicity,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,Low Toxicity,Low Safety,High Safety,0.01,0.02,1.0,0.85,1.0,0.33,1.0,0.15,0.5,0.88,0.01,0.37,0.0,0.01,0.0,0.0,0.06,0.0,0.0,0.01,0.0,0.0,0.02,0.01,0.0,0.01,0.03,0.24,0.55,0.35,0.04
E7,C10928,CCc1cccc(CC)c1N(COC)C(=O)CCl,CHEBI:2533,Alachlor,High Safety,Medium Safety,High Toxicity,High Safety,Low Toxicity,High Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Safety,Medium Safety,Medium Toxicity,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,High Toxicity,High Safety,High Safety,0.01,0.25,1.0,0.13,0.64,0.99,1.0,0.0,0.5,0.03,0.08,0.18,0.0,0.0,0.06,0.09,0.17,0.01,0.09,0.02,0.48,0.28,0.79,0.01,0.26,0.15,0.04,0.55,0.99,0.05,0.03
E7,C11090,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,CHEBI:4791,Endosulfan,High Toxicity,High Safety,High Toxicity,High Safety,High Toxicity,High Toxicity,High Safety,High Toxicity,Low Toxicity,High Toxicity,Low Toxicity,Low Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Toxicity,High Safety,High Safety,High Toxicity,High Safety,Medium Toxicity,High Toxicity,Medium Safety,High Safety,0.96,0.01,0.91,0.15,0.97,0.88,0.0,0.9,0.5,1.0,0.57,0.35,0.0,0.0,0.01,0.22,0.07,0.03,0.02,0.02,0.17,0.0,0.96,0.03,0.0,0.87,0.04,0.69,0.93,0.23,0.06
E7,C14322,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,CHEBI:34631,Chlorpyrifos,High Toxicity,High Safety,High Toxicity,Medium Safety,High Safety,Medium Toxicity,High Safety,High Toxicity,Low Toxicity,Medium Toxicity,High Toxicity,Medium Safety,High Safety,High Safety,High Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,Low Toxicity,High Safety,High Safety,Medium Toxicity,High Safety,Low Toxicity,High Toxicity,Medium Safety,High Safety,0.97,0.02,1.0,0.2,0.11,0.73,0.0,0.9,0.5,0.67,0.94,0.28,0.0,0.0,0.86,0.0,0.11,0.02,0.02,0.02,0.24,0.0,0.66,0.01,0.0,0.74,0.08,0.52,0.93,0.19,0.07
E7,C14430,COP(=O)(OC)OC=C(Cl)Cl,CHEBI:34690,Dichlorvos,High Toxicity,High Safety,Medium Toxicity,Medium Toxicity,High Toxicity,Medium Toxicity,High Toxicity,Low Safety,Low Toxicity,High Toxicity,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Toxicity,Medium Toxicity,High Safety,High Safety,High Safety,High Safety,Medium Toxicity,Medium Toxicity,High Safety,High Safety,0.91,0.03,0.82,0.77,0.95,0.8,1.0,0.45,0.5,1.0,0.06,0.38,0.0,0.0,0.01,0.16,0.03,0.0,0.06,0.01,0.0,1.0,0.72,0.03,0.0,0.01,0.05,0.74,0.81,0.12,0.03
E7,C14449,ClCC1CO1,CHEBI:37144,Epichlorohydrin,High Safety,Medium Safety,Medium Safety,High Toxicity,High Toxicity,High Safety,High Toxicity,High Safety,Low Toxicity,Low Toxicity,Medium Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Toxicity,Low Safety,Medium Safety,High Safety,0.0,0.27,0.22,0.97,0.97,0.04,1.0,0.15,0.5,0.5,0.29,0.39,0.0,0.0,0.01,0.0,0.05,0.0,0.01,0.01,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.68,0.47,0.29,0.02
E7,C01326,C#N,CHEBI:18407,Hydrogen cyanide,High Safety,Medium Toxicity,Low Safety,Medium Toxicity,High Toxicity,High Safety,Medium Safety,High Safety,Low Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Safety,Medium Safety,High Safety,0.01,0.83,0.36,0.74,0.95,0.12,0.26,0.15,0.5,0.59,0.02,0.36,0.0,0.04,0.0,0.0,0.08,0.0,0.0,0.01,0.0,0.06,0.01,0.02,0.0,0.01,0.0,0.55,0.46,0.29,0.02
E7,C06790,ClC=C(Cl)Cl,CHEBI:16602,Trichloroethene,High Safety,High Safety,High Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,High Safety,Low Toxicity,High Toxicity,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Medium Toxicity,Low Safety,High Safety,0.01,0.02,1.0,0.93,0.98,0.94,0.0,0.15,0.5,0.85,0.02,0.38,0.0,0.0,0.01,0.0,0.03,0.01,0.02,0.01,0.0,1.0,0.07,0.05,0.0,0.0,0.01,0.38,0.78,0.36,0.08
E7,C11088,BrCCBr,CHEBI:28534,"1,2-Dibromoethane",High Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,High Safety,High Toxicity,High Safety,Low Toxicity,High Toxicity,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Toxicity,Medium Safety,High Safety,0.01,0.03,0.5,0.97,0.99,0.15,1.0,0.15,0.5,0.84,0.02,0.21,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.43,0.84,0.31,0.08
E7,C11278,[H][C@@]12Oc3cc(OC)c4c5c(c(=O)oc4c3[C@]1([H])[C@@H](O)[C@H](SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)O2)C(=O)CC5,CHEBI:2505,"Aflatoxin B1exo-8,9-epoxide-GSH",High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Low Safety,High Safety,Low Toxicity,Medium Safety,Medium Toxicity,Medium Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,Low Toxicity,Medium Safety,High Safety,0.0,0.0,0.22,0.0,0.0,0.59,0.39,0.08,0.54,0.24,0.76,0.33,0.04,0.02,0.02,0.17,0.11,0.01,0.23,0.0,0.09,0.91,0.16,0.04,0.01,0.08,0.01,0.32,0.62,0.24,0.11
E7,C19586,[H][C@]12O[C@]3([H])Oc4cc(OC)c5c6c(c(=O)oc5c4[C@]3([H])[C@@]1([H])O2)C(=O)CC6,CHEBI:30725,"Aflatoxin B1-exo-8,9-epoxide",High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Toxicity,High Toxicity,High Safety,Low Toxicity,Medium Toxicity,Low Toxicity,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Toxicity,Medium Safety,High Safety,0.01,0.04,0.3,0.04,0.04,0.67,1.0,0.1,0.5,0.79,0.59,0.26,0.02,0.0,0.01,0.03,0.08,0.01,0.08,0.01,0.06,0.61,0.31,0.1,0.03,0.03,0.05,0.39,0.91,0.23,0.02
E7,C07561,ClC(Cl)(Cl)Cl,CHEBI:27385,Carbon tetrachloride,High Safety,High Safety,High Safety,Low Toxicity,Medium Toxicity,Medium Toxicity,High Safety,High Safety,Low Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Toxicity,Low Safety,High Safety,0.03,0.01,0.0,0.56,0.72,0.75,0.0,0.15,0.5,0.87,0.02,0.55,0.0,0.07,0.0,0.0,0.08,0.03,0.0,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.45,0.96,0.39,0.12
E7,C19302,CC(N)=S,CHEBI:32497,Thioacetamide,High Safety,Medium Safety,Low Safety,High Toxicity,High Toxicity,Medium Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Safety,Low Safety,Medium Safety,0.01,0.18,0.45,0.9,0.92,0.17,0.11,0.15,0.5,0.64,0.0,0.25,0.0,0.01,0.0,0.0,0.03,0.01,0.0,0.01,0.02,0.42,0.04,0.0,0.0,0.02,0.01,0.49,0.13,0.38,0.19
E7,C07041,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,CHEBI:5778,Hydrochlorothiazide,High Safety,High Safety,Low Safety,High Safety,High Safety,Low Toxicity,High Safety,High Safety,Low Toxicity,High Safety,High Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,Medium Toxicity,High Safety,High Safety,0.01,0.01,0.48,0.01,0.0,0.61,0.0,0.02,0.51,0.03,1.0,0.08,0.0,0.0,0.07,0.0,0.1,0.04,0.0,0.01,0.0,1.0,0.05,0.01,0.0,0.02,0.02,0.26,0.83,0.0,0.14
E7,C00070,[Cu],CHEBI:28694,Copper,High Safety,Medium Toxicity,High Safety,Low Safety,High Toxicity,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Safety,Low Safety,High Safety,0.01,0.67,0.03,0.49,0.96,0.16,0.18,0.15,0.5,1.0,0.01,0.63,0.0,0.09,0.0,0.0,0.12,0.07,0.09,0.01,0.13,0.07,0.02,0.0,0.04,0.0,0.01,0.52,0.37,0.38,0.02
E7,C11195,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,CHEBI:50729,Mitoxantrone,Medium Safety,High Safety,Low Safety,High Safety,Medium Safety,Low Toxicity,High Toxicity,High Safety,Low Toxicity,Low Toxicity,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Toxicity,Low Safety,High Safety,High Safety,High Safety,Low Safety,Low Toxicity,Medium Toxicity,Low Toxicity,High Safety,0.32,0.01,0.37,0.0,0.17,0.65,0.94,0.12,0.51,0.65,0.1,0.04,0.12,0.05,0.3,0.05,0.18,0.08,0.21,0.01,0.06,0.97,0.42,0.01,0.02,0.15,0.48,0.61,0.76,0.56,0.12
E7,C07316,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,CHEBI:9334,Sulfasalazine,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Toxicity,High Safety,High Safety,Low Toxicity,Low Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Toxicity,Low Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Toxicity,Medium Safety,Medium Safety,0.0,0.07,0.2,0.05,0.03,0.89,0.0,0.04,0.54,0.36,0.31,0.13,0.0,0.0,0.01,0.0,0.27,0.01,0.01,0.02,0.04,1.0,0.35,0.0,0.0,0.18,0.09,0.24,0.98,0.29,0.18
E7,C17383,O=S(=O)([O-])[O-].[Co+2],CHEBI:53470,Cobaltous sulfate,High Safety,Low Safety,High Safety,Medium Toxicity,High Toxicity,Medium Safety,Low Safety,High Toxicity,Low Toxicity,High Safety,High Safety,Low Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Safety,Medium Safety,High Safety,0.01,0.38,0.14,0.79,0.98,0.29,0.39,0.9,0.5,0.12,0.0,0.64,0.0,0.0,0.0,0.0,0.06,0.01,0.03,0.01,0.04,0.39,0.02,0.0,0.0,0.08,0.03,0.65,0.39,0.19,0.03
E7,C07115,CN(CCCl)CCCl,CHEBI:28925,Nitrogen mustard,High Safety,High Safety,Medium Safety,Low Safety,Low Toxicity,High Safety,High Toxicity,High Safety,Low Toxicity,Low Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,High Safety,High Safety,High Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Medium Toxicity,Medium Safety,High Safety,0.0,0.12,0.17,0.34,0.57,0.09,1.0,0.15,0.5,0.55,0.06,0.1,0.06,0.01,0.0,0.01,0.05,0.0,0.66,0.01,0.03,1.0,0.08,0.1,0.0,0.01,0.1,0.45,0.75,0.29,0.11
E7,C13377,[Cl][Hg][Cl],CHEBI:31823,Mercuric chloride,High Safety,High Safety,Medium Safety,Low Toxicity,Medium Toxicity,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Toxicity,Low Safety,High Safety,0.01,0.04,0.3,0.59,0.72,0.16,0.28,0.15,0.5,0.95,0.01,0.42,0.05,0.1,0.0,0.0,0.09,0.25,0.13,0.01,0.04,0.2,0.23,0.0,0.16,0.05,0.04,0.57,0.79,0.37,0.02
E7,C00090,Oc1ccccc1O,CHEBI:18135,Catechol,High Safety,Low Toxicity,Low Safety,High Toxicity,High Toxicity,High Toxicity,High Safety,High Safety,Low Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,High Toxicity,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,High Safety,Medium Toxicity,High Safety,High Safety,High Safety,High Safety,High Toxicity,High Toxicity,High Safety,High Safety,0.01,0.64,0.35,0.85,0.99,0.87,0.13,0.15,0.5,0.51,0.15,0.47,0.0,0.0,0.86,0.08,0.11,0.56,0.23,0.02,0.0,0.0,0.69,0.01,0.0,0.06,0.08,0.84,0.95,0.16,0.0
E7,C19233,CN(C)N,CHEBI:18853,"1,1-Dimethylhydrazine",High Safety,High Safety,High Safety,High Toxicity,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,Low Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,High Safety,Medium Safety,High Safety,0.01,0.16,0.0,0.91,0.93,0.64,1.0,0.99,0.5,0.47,0.0,0.36,0.0,0.0,0.02,0.0,0.06,0.0,0.0,0.01,0.0,0.42,0.02,0.0,0.0,0.0,0.01,0.62,0.09,0.29,0.01
E7,C00067,[H]C([H])=O,CHEBI:16842,Formaldehyde,High Safety,High Toxicity,Medium Safety,Medium Toxicity,High Toxicity,Low Toxicity,High Toxicity,High Safety,Low Toxicity,Low Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Toxicity,Medium Safety,Medium Safety,High Safety,0.01,0.96,0.29,0.81,0.97,0.63,1.0,0.15,0.5,0.42,0.0,0.39,0.02,0.0,0.0,0.0,0.08,0.0,0.01,0.01,0.01,0.17,0.05,0.0,0.0,0.19,0.0,0.75,0.21,0.26,0.03
E7,C07308,C[As](C)(=O)[O-],CHEBI:16223,Cacodylate,High Safety,High Safety,High Safety,High Toxicity,High Toxicity,Medium Safety,Low Safety,High Safety,Low Toxicity,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Toxicity,Medium Safety,Low Safety,High Safety,0.01,0.03,0.11,0.86,0.99,0.21,0.35,0.15,0.5,0.03,0.0,0.39,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.01,0.07,0.33,0.1,0.0,0.42,0.02,0.02,0.88,0.22,0.48,0.02
